
=== RIGOR CASCADE  d0=2  S=60  c=1.281  J=True  L=False ===

[L0] d=2, S=60, compositions=61, x_cap=48
     0.34s: NO=0 J=0 L=0 surv=19  uncert=0
[L0] surv=19  uncert=0  (0.34s)

--- L1: d=2->4  parents=19  x_cap=33 ---
L1: 11,910 children -> NO=8,816 J=7 L=0 uncert=533 surv_next=2,438 unc_next=515 (0.6s)

--- L2: d=4->8  parents=2,953  x_cap=24 ---
   [38/2953] children=1,367,470 NO=1,367,470 J=0 L=0 surv=0 uncert=0
   [71/2953] children=2,774,553 NO=2,774,377 J=130 L=0 surv=0 uncert=46
   [105/2953] children=4,217,213 NO=4,217,031 J=134 L=0 surv=0 uncert=48
   [123/2953] children=5,074,340 NO=5,073,618 J=239 L=0 surv=0 uncert=483
   [133/2953] children=5,524,922 NO=5,522,594 J=713 L=0 surv=1 uncert=1,614
   [146/2953] children=6,111,673 NO=6,108,688 J=943 L=0 surv=1 uncert=2,041
   [162/2953] children=6,820,755 NO=6,817,628 J=985 L=0 surv=1 uncert=2,141
   [189/2953] children=8,041,733 NO=8,038,600 J=985 L=0 surv=1 uncert=2,147
   [212/2953] children=9,098,853 NO=9,094,546 J=1,117 L=0 surv=12 uncert=3,178
   [224/2953] children=9,692,517 NO=9,684,027 J=1,726 L=0 surv=54 uncert=6,710
   [236/2953] children=10,245,573 NO=10,231,256 J=2,967 L=0 surv=182 uncert=11,168
   [252/2953] children=11,013,885 NO=10,995,572 J=3,650 L=0 surv=283 uncert=14,380
   [282/2953] children=12,339,045 NO=12,319,559 J=3,859 L=0 surv=293 uncert=15,334
   [309/2953] children=13,694,565 NO=13,675,074 J=3,860 L=0 surv=293 uncert=15,338
   [344/2953] children=15,069,464 NO=15,049,363 J=3,888 L=0 surv=295 uncert=15,918
   [355/2953] children=15,564,699 NO=15,539,707 J=4,232 L=0 surv=477 uncert=20,283
   [364/2953] children=16,006,348 NO=15,975,507 J=4,789 L=0 surv=748 uncert=25,304
   [370/2953] children=16,276,163 NO=16,237,938 J=5,663 L=0 surv=1,176 uncert=31,386
   [379/2953] children=16,699,521 NO=16,653,905 J=6,888 L=0 surv=1,544 uncert=37,184
   [387/2953] children=17,152,233 NO=17,101,152 J=7,439 L=0 surv=1,897 uncert=41,745
   [393/2953] children=17,362,300 NO=17,304,119 J=8,857 L=0 surv=2,531 uncert=46,793
   [401/2953] children=17,834,824 NO=17,772,616 J=9,205 L=0 surv=2,779 uncert=50,224
   [410/2953] children=18,165,336 NO=18,097,094 J=10,230 L=0 surv=3,282 uncert=54,730
   [423/2953] children=18,700,780 NO=18,629,992 J=10,643 L=0 surv=3,357 uncert=56,788
   [432/2953] children=19,225,720 NO=19,152,789 J=10,842 L=0 surv=3,431 uncert=58,658
   [448/2953] children=20,004,641 NO=19,930,852 J=10,904 L=0 surv=3,436 uncert=59,449
   [470/2953] children=21,046,552 NO=20,972,625 J=10,933 L=0 surv=3,436 uncert=59,558
   [489/2953] children=22,000,297 NO=21,926,245 J=10,984 L=0 surv=3,436 uncert=59,632
   [516/2953] children=23,116,360 NO=23,041,609 J=11,138 L=0 surv=3,436 uncert=60,177
   [540/2953] children=23,703,017 NO=23,624,474 J=11,218 L=0 surv=3,546 uncert=63,779
   [548/2953] children=24,009,141 NO=23,924,585 J=11,555 L=0 surv=3,930 uncert=69,071
   [556/2953] children=24,349,705 NO=24,257,513 J=12,162 L=0 surv=4,556 uncert=75,474
   [562/2953] children=24,625,057 NO=24,527,943 J=12,646 L=0 surv=4,758 uncert=79,710
   [565/2953] children=24,747,025 NO=24,642,482 J=13,423 L=0 surv=5,492 uncert=85,628
