================================================================================
CERT RATES on RANDOM H_d boxes (full search space, not near sigma(mu*))
  100 random boxes per cell
  Cheap tier: natural / autoconv / SW / NE / joint-face
  Plus epi LP if cheap fails
================================================================================

=== d=22 (|W|=946) ===
  hw     | cheap_pass%   LP_pass%   ANY_pass%  | LP_ms_avg
  0.1000 |    0.0          0.0        0.0     | 328
  0.0500 |    1.0          2.0        3.0     | 351
  0.0250 |   22.0         68.0       90.0     | 353
  0.0100 |  100.0          0.0      100.0     | 0

=== d=24 (|W|=1128) ===
  hw     | cheap_pass%   LP_pass%   ANY_pass%  | LP_ms_avg
  0.1000 |    1.0          0.0        1.0     | 483
  0.0500 |    4.0          0.0        4.0     | 410
  0.0250 |   12.0         80.0       92.0     | 496
  0.0100 |  100.0          0.0      100.0     | 0

=== d=30 (|W|=1770) ===
  hw     | cheap_pass%   LP_pass%   ANY_pass%  | LP_ms_avg
  0.1000 |    0.0          0.0        0.0     | 1404
  0.0500 |    1.0          0.0        1.0     | 2340
  0.0250 |    2.0         49.0       51.0     | 1887
  0.0100 |  100.0          0.0      100.0     | 0
