d=4 sweep: target val(4) = 1.102
  R  z2  q      alpha        gap   n_vars   n_eq  build_s  solve_s
  4   T  Y   1.000000   0.102000       42     16     0.00     0.01
  6   T  Y   1.047619   0.054381       66     29     0.00     0.00
  8   T  Y   1.062500   0.039500       98     46     0.00     0.00
 10   T  Y   1.066667   0.035333      138     67     0.00     0.00
 12   T  Y   1.076923   0.025077      186     92     0.00     0.00
  4   F  Y   1.000000   0.102000      134     71     0.00     0.00
  6   F  Y   1.000000   0.102000      365    211     0.00     0.01
  8   F  Y   1.000000   0.102000      854    496     0.00     0.02
 10   F  Y   1.000000   0.102000     1745   1002     0.00     0.19
 12   F  Y   1.000000   0.102000     3214   1821     0.00     1.16
